a	anh
mik	mình
mjh	mình
mk	mình
mn	mọi người
mng	mọi người
mnk	mọi người
mqh	mối quan hệ
ms	mới
mìnk	mình
mớj	mới
nc	nói chuyện
nch	nói chuyện
nek	nè
ng	người
ngag	ngang
nghành	ngành
ngke	nghe
ngkhác	người khác
ngta	người ta
nguoi	người
nguời	người
ngyeu	người yêu
ngàh	ngành
ngèo	nghèo
ngía	nghía
ngđo	người đó
ngđó	người đó
ngốk	ngốc
ngừoi	người
nhaa	nha
nhiềuuu	nhiều
nhjeu	nhiều
nhoé	nhé
nhưg	nhưng
nhưq	nhưng
nhữg	những
nkư	như
nkưng	nhưng
nma	nhưng mà
ns	nói
nt	nhắn tin
nta	người ta
nthe	như thế
nthê	như thế
nthế	như thế
ntn	như thế nào
ntnao	như thế nào
ntnày	như thế này
nvay	như vậy
nvqs	nghĩa vụ quân sự
nvậy	như vậy
ny	người yêu
nyc	người yêu cũ
nyêu	người yêu
nàg	nàng
nèk	nè
nógn	nóng
năg	năng
nắg	nắng
nặg	nặng
oy	rồi
phog	phong
phòg	phòng
pjt	biết
pn	bạn
qc	quảng cáo
qhe	quan hệ
qhệ	quan hệ
qq	quằn què
qtam	quan tâm
qtrọng	quan trọng
qtâm	quan tâm
quí	quý
qà	quà
qá	quá
qả	quả
r	rồi
riêg	riêng
rì	gì
răg	răng
rằg	rằng
rồii	rồi
sg	sài gòn
sml	sấp mặt lờ
snghĩ	suy nghĩ
snvv	sinh nhật vui vẻ
stk	số tài khoản
sviên	sinh viên
svtn	sinh viên tình nguyện
sđt	số điện thoại
sốg	sống
tcảm	tình cảm
tgdd	thế giới di động
tgian	thời gian
thgian	thời gian
thich	thích
thik	thích
thjc	thích
thjk	thích
thoy	thôi
thuj	thôi
thàh	thành
thíck	thích
thík	thích
thôii	thôi
thým	thím
thươg	thương
thườg	thường
thằg	thằng
thẳg	thẳng
thỳ	thì
tiếg	tiếng
tlai	tương lai
tnào	thế nào
tq	trung quốc
trag	trang
trc	trước
trieu	triệu
troai	trai
trog	trong
trườg	trường
trọg	trọng
tym	tim
tyêu	tình yêu
tìh	tình
tíh	tính
tđn	thế đéo nào
tưởg	tưởng
tượg	tượng
từg	từng
uh	ừ
uhm	ừm
uk	ừ
ukm	ừm
uốg	uống
vc	vợ chồng
vch	vãi chưởng
vchg	vãi chưởng
vcl	vờ cờ lờ
vcđ	vãi cả đái
vd	ví dụ
vde	vấn đề
vk	vợ
vler	vãi lờ
vn	việt nam
vs	với
vv	vui vẻ
vđ	vãi đái
vđê	vấn đề
vọg	vọng
vớii	với
wa	quá
wtâm	quan tâm
wá	quá
xg	xuống
xih	xinh
xink	xinh
xl	xin lỗi
xloi	xin lỗi
xog	xong
xug	xùng
xuốg	xuống
yt	yêu thương
z	vậy
z là	vậy là
zui	vui
zzz	buồn ngủ
zà	già
zám	dám
zìa	gì
zô	dô
zùi	rồi
zú	vú
zạ	vậy
zậy	vậy
zẻ	vẻ
zồi	rồi
zữ	dữ
àh	à
àk	à
ák	á
òy	rồi
đag	đang
đbh	đéo bao giờ
đc	được
đhs	đéo hiểu sao
đhọc	đại học
đii	đi
đjên	điên
đki	đăng ký
đkiện	điều kiện
đky	đăng ký
đt	điện thoại
đthoai	điện thoại
đthoại	điện thoại
đuợc	được
đz	đẹp giai
đzai	đẹp trai
đág	đáng
đáh	đánh
đóg	đóng
đôg	đông
đươc	được
địh	định
đồg	đồng
độg	động
đứg	đứng
ơiii	ơi
ơiiii	ơi
ạh	ạ
ạk	ạ
