input,target
Tran Phuong Anh: Giu lua nhang den.,Trần Phương Anh: Giữ lửa nhang đèn.
Ho Ngoc Ha va tour dien mien phi.,Hồ Ngọc Hà và tour diễn miễn phí.
Chi dep qua chia iu,Chị đẹp quá chị yêu
"Vang: 33,25 trieu dong/luong!.","Vàng: 33,25 triệu đồng/lượng!."
"Khi tro ve Han Quoc de quang ba bo phim, Thang Duy cung duoc men mo va san don khong kem canh bat ki than tuong tre tuoi nao cua xu kim chi.","Khi trở về Hàn Quốc để quảng bá bộ phim, Thang Duy cũng được mến mộ và săn đón không kém cạnh bất kì thần tượng trẻ tuổi nào của xứ kim chi."
Long An: No nuc di bau cu tu tinh mo.,Long An: Nô nức đi bầu cử từ tinh mơ.
Lan dau tien ba cuu duoc vai con bang tien tui voi gia chuoc tu vai tram nghin dong mot trieu dong.,Lần đầu tiên bà cứu được vài con bằng tiền túi với giá chuộc từ vài trăm nghìn đồng một triệu đồng.
"Nuoc giu cho lan da cua ban trong dep nhat, khi ban uong nuoc, ban dang duong am tu ben trong, Nguon: https://nongthonviet.com.vn/6-sai-lam-khien-ban-gia-di-trong-thay-khong-the-cuu-van-1382296.ngnNguon: https://nongthonviet.com.vn/6-sai-lam-khien-ban-gia-di-trong-thay-khong-the-cuu-van-1382296.ngn","Nước giữ cho làn da của bạn trông đẹp nhất, khi bạn uống nước, bạn đang dưỡng ẩm từ bên trong, Nguồn: https://nongthonviet.com.vn/6-sai-lam-khien-ban-gia-di-trong-thay-khong-the-cuu-van-1382296.ngnNguồn: https://nongthonviet.com.vn/6-sai-lam-khien-ban-gia-di-trong-thay-khong-the-cuu-van-1382296.ngn"
"Nguoi dan Canada cho biet dang chuan bi cho lam phat 7% nam toi, muc cao nhat trong nhom nuoc giau.","Người dân Canada cho biết đang chuẩn bị cho lạm phát 7% năm tới, mức cao nhất trong nhóm nước giàu."
Angelababy xuat hien chop nhoang trong trailer 'Ngay doc lap 2'.,Angelababy xuất hiện chớp nhoáng trong trailer 'Ngày độc lập 2'.
7 trieu chung cua viem loet da day ma ban nen biet.,7 triệu chứng của viêm loét dạ dày mà bạn nên biết.
Bi cam thi dau 18 thang vi tu choi thu doping.,Bị cấm thi đấu 18 tháng vì từ chối thử doping.
"Khai mac hoi cho ""Hang Viet Nam chat luong cao"".","Khai mạc hội chợ ""Hàng Việt Nam chất lượng cao""."
Phan dau bao dam 100% phien toa co luat su tham gia.,Phấn đấu bảo đảm 100% phiên tòa có luật sư tham gia.
Hoan tat thu nghiem tau ngam Ha Noi.,Hoàn tất thử nghiệm tàu ngầm Hà Nội.
Tuong thuat SEA Games: Co vua mang HCV thu 48 cho TTVN.,Tường thuật SEA Games: Cờ vua mang HCV thứ 48 cho TTVN.
"Mua lon, lu don, Binh Dinh cho hoc sinh nghi hoc.","Mưa lớn, lũ dồn, Bình Định cho học sinh nghỉ học."
"Boi duong thi tay nghe, nang bac tho cho hon 57.000 NLD.","Bồi dưỡng thi tay nghề, nâng bậc thợ cho hơn 57.000 NLĐ."
"Xet ve tuong quan luc luong, U19 Viet Nam duoc danh gia cao hon U19 Myanmar, dong thoi chung ta cung co loi the hon diem.","Xét về tương quan lực lượng, U19 Việt Nam được đánh giá cao hơn U19 Myanmar, đồng thời chúng ta cũng có lợi thế hơn điểm."
Hinh anh doc ve thieu gia lam sieu dam cuoi pho nui.,Hình ảnh độc về thiếu gia làm siêu đám cưới phố núi.
"Khuyen khich tap hop thanh nien theo CLB, doi....","Khuyến khích tập hợp thanh niên theo CLB, đội...."
"Pham Huong, Ha Ho gianh thi sinh o tap mo man The Face.","Phạm Hương, Hà Hồ giành thí sinh ở tập mở màn The Face."
"Olympic 2016: Co Tien Minh 'quan su', Vu Thi Trang van that thu.","Olympic 2016: Có Tiến Minh 'quân sư', Vũ Thị Trang vẫn thất thủ."
Be boi thuc pham chua DEHP lan sang Trung Quoc.,Bê bối thực phẩm chứa DEHP lan sang Trung Quốc.
Cau chuyen cuoi tuan Que Ngoc Hai va 800 trieu treo cao.,Câu chuyện cuối tuần Quế Ngọc Hải và 800 triệu treo cao.
Nganh Ngoai giao co dong gop xung dang cho dat nuoc.,Ngành Ngoại giao có đóng góp xứng đáng cho đất nước.
đúng vl,đúng vãi lồn
"Den gan 19h toi cung ngay, mot so phuong tien chua chay moi den hien truong ho tro khong che dam chay.","Đến gần 19h tối cùng ngày, một số phương tiện chữa cháy mới đến hiện trường hỗ trợ khống chế đám cháy."
'Chi linh chi' Thien Nhan len lich.,'Chí lính chì' Thiện Nhân lên lịch.
"Day la lan thu hai chi ve Viet Nam, sau khi dich benh Covid-19 duoc kiem soat.","Đây là lần thứ hai chị về Việt Nam, sau khi dịch bệnh Covid-19 được kiểm soát."
Co nap tien cho con con khen co nua nha,Cô nạp tiền cho con con khen cô nữa nha
Syria: Truong Dai hoc Damascus bi tan cong.,Syria: Trường Đại học Damascus bị tấn công.
15 meo don gian de co giac ngu ngon moi ngay.,15 mẹo đơn giản để có giấc ngủ ngon mỗi ngày.
"Ngoai co them nguon thu nhap, voi anh Giang, trong cac cay kieng nho nhan tai gia giup anh co nhung gio phut thu thai sau mot ngay lam viec met moi.","Ngoài có thêm nguồn thu nhập, với anh Giang, trồng các cây kiểng nhỏ nhắn tại gia giúp anh có những giờ phút thư thái sau một ngày làm việc mệt mỏi."
Ten lua tam xa SA-5 cua Bac Trieu co thuc su manh?.,Tên lửa tầm xa SA-5 của Bắc Triều có thực sự mạnh?.
z là mình ms iu,vậy là mình mới yêu
Phoi hop giua benh vien cong va tu: Kho ca co che lan y chi.,Phối hợp giữa bệnh viện công và tư: Khó cả cơ chế lẫn ý chí.
Nhieu thi sinh chon de thi ve long yeu nuoc.,Nhiều thí sinh chọn đề thi về lòng yêu nước.
TOAN CANH: Hoi nghi trien khai Nghi quyet 19-2016/NQ-CP.,TOÀN CẢNH: Hội nghị triển khai Nghị quyết 19-2016/NQ-CP.
Chelsea: Nhu mot chiec limousine khong nguoi lai.,Chelsea: Như một chiếc limousine không người lái.
chot don chot don chot don chot don chot don chot don chot don chot don chot don,chốt đơn chốt đơn chốt đơn chốt đơn chốt đơn chốt đơn chốt đơn chốt đơn chốt đơn
tkư tìnk: e cs iu ank?.,thư tình: em có yêu anh?.
Co gai 16 tuoi ban thuoc lac cho 'dan bay'.,Cô gái 16 tuổi bán thuốc lắc cho 'dân bay'.
"VN-Index giam, HNX-Index bat ngo tang.","VN-Index giảm, HNX-Index bất ngờ tăng."
Vi dang tat nien sinh vien.,Vị đắng tất niên sinh viên.
Chay rung o bang California.,Cháy rừng ở bang California.
Gam lon chet ban cho dan thanh pho.,Găm lợn chết bán cho dân thành phố.
Nu phat minh 8X me dat da.,Nữ phát minh 8X mê đất đá.
No luc tim kiem may bay cua Ma-lai-xi-a bi mat tich.,Nỗ lực tìm kiếm máy bay của Ma-lai-xi-a bị mất tích.
Ra mat chuong trinh Thap sang tuong lai.,Ra mắt chương trình Thắp sáng tương lai.
Toi khong bao gio phai tang boc ong Son va ban than ong Son cung khong can nhung dieu do.,Tôi không bao giờ phải tâng bốc ông Sơn và bản thân ông Sơn cũng không cần những điều đó.
Nghe thuyet phuc 1 cach vo ly,Nghe thuyết phục 1 cách vô lý
"""Tong hanh dinh"" cua Deutsche Boerse-LSE co the thay doi vi Brexit.","""Tổng hành dinh"" của Deutsche Boerse-LSE có thể thay đổi vì Brexit."
Scolari: Chung toi se thi dau vi Neymar.,Scolari: Chúng tôi sẽ thi đấu vì Neymar.
"Thu nhat, can ho dien tich nho lieu co trang tri dep duoc khong.","Thứ nhất, căn hộ diện tích nhỏ liệu có trang trí đẹp được không."
Nhat ban 76 nhe ad,Nhật Bản 76 nhé Ad
Cau thu U17-Fluminense bi chem giet da man.,Cầu thủ U17-Fluminense bị chém giết dã man.
Ky su Tach chinh thuc kien Toyota vi bi xam hai.,Kỹ sư Tạch chính thức kiện Toyota vì bị xâm hại.
h tin ròi nhm vẫn iu ck nha,giờ tin rồi nhưng mà vẫn yêu chồng nha
Hoan canh dang thuong cua 2 chi em mo coi.,Hoàn cảnh đáng thương của 2 chị em mồ côi.
"Tay vot 26 tuoi tu danh hong 34 lan, nhieu gap doi Nadal.","Tay vợt 26 tuổi tự đánh hỏng 34 lần, nhiều gấp đôi Nadal."
Nhieu nuoc gui them quan toi Ap-ga-ni-xtan.,Nhiều nước gửi thêm quân tới Áp-ga-ni-xtan.
Kham pha 1 trong 10 ngoi nha quai di nhat Da Lat.,Khám phá 1 trong 10 ngôi nhà quái dị nhất Đà Lạt.
Sau day la mot so giai phap da duoc cac nha nghien cuu va hoach dinh chinh sach dua ra de ASEAN dat duoc muc tieu tang truong hau dai dich.,Sau đây là một số giải pháp đã được các nhà nghiên cứu và hoạch định chính sách đưa ra để ASEAN đạt được mục tiêu tăng trưởng hậu đại dịch.
Tang ngay 20% gia tri the nap cho chu the HDBank.,Tặng ngay 20% giá trị thẻ nạp cho chủ thẻ HDBank.
Nha truong phat giay khen 'tung mat' bi buoc thu hoi de chinh sua.,Nhà trường phát giấy khen 'từng mặt' bị buộc thu hồi để chỉnh sửa.
Gan 30.000 ca nhiem cum A/H1N1.,Gần 30.000 ca nhiễm cúm A/H1N1.
Mapmo vừa dui vừa hp,Mapmo vừa vui vừa hạnh phúc
Pham Minh phục lồn .,Phạm Minh phục lồn.
chug nao bon quan chuc cs bj lat do thj vn moi co tuong lai,chừng nào bọn quan chức cộng sản bị lật đổ thì VN mới có tương lai
Lu quet mo man Lien hoan san khau kich 2012.,Lũ quét mở màn Liên hoan sân khấu kịch 2012.
Tau vu tru cua Trung Quoc ha canh xuong Mat Trang.,Tàu vũ trụ của Trung Quốc hạ cánh xuống Mặt Trăng.
The thao Ha Noi: IPO thanh cong 7.83 trieu cp gia cao gap 3 lan.,Thể thao Hà Nội: IPO thành công 7.83 triệu cp giá cao gấp 3 lần.
Ha Tri Quang: 'Ai cung biet nghiep dien se khong giau'.,Hà Trí Quang: 'Ai cũng biết nghiệp diễn sẽ không giàu'.
"Theo transfermarkt, Ahn Sea-hee truong thanh tu bong da hoc duong truoc khi len choi chuyen nghiep.","Theo transfermarkt, Ahn Sea-hee trưởng thành từ bóng đá học đường trước khi lên chơi chuyên nghiệp."
Sir Alex boc dien thoai goi Ronaldo ve M.U.,Sir Alex bốc điện thoại gọi Ronaldo về M.U.
"Hai xe tai dau dau tren Quoc lo 14, mot lai xe tu vong tai cho.","Hai xe tải đấu đầu trên Quốc lộ 14, một lái xe tử vong tại chỗ."
Xe bon cho 20 tan xi mang lat ngang giua pho.,Xe bồn chở 20 tấn xi măng lật ngang giữa phố.
Cac co quan truc thuoc Dai TNVN chuc mung quan doan 4.,Các cơ quan trực thuộc Đài TNVN chúc mừng quân đoàn 4.
Canh bao quan tham 'tang cuong vet truoc khi ha canh'.,Cảnh báo quan tham 'tăng cường vét trước khi hạ cánh'.
Sao MU xung xinh tren tham do.,Sao MU xúng xính trên thảm đỏ.
"Cach an lich su truyen thong - nhai khep mieng, dung muong dua dung cach that tu ton - hoa ra lai lam mat rat nhieu cam giac ngon mieng cua chung ta!","Cách ăn lịch sự truyền thống - nhai khép miệng, dùng muỗng đũa đúng cách thật từ tốn - hóa ra lại làm mất rất nhiều cảm giác ngon miệng của chúng ta!"
Thanh Hoa thang tran o pho Nui.,Thanh Hóa thắng trận ở phố Núi.
"Nhung, Djokovic cung chi ton hon hai tieng ruoi de vuot qua Cameron Norrie.","Nhưng, Djokovic cũng chỉ tốn hơn hai tiếng rưỡi để vượt qua Cameron Norrie."
Xem voi rong khong lo tan cong vung bien Italia.,Xem vòi rồng khổng lồ tấn công vùng biển Italia.
"Cac co quan, to chuc, don vi tu quyet dinh viec su dung hop dong lao dong va tra luong, phu cap cho lao dong hop dong theo quy dinh tu ngan sach chi thuong xuyen cua co quan, don vi"" - Ket luan nhan manh.","Các cơ quan, tổ chức, đơn vị tự quyết định việc sử dụng hợp đồng lao động và trả lương, phụ cấp cho lao động hợp đồng theo quy định từ ngân sách chi thường xuyên của cơ quan, đơn vị"" - Kết luận nhấn mạnh."
Bieu tinh chong Uber bung len o Phap.,Biểu tình chống Uber bùng lên ở Pháp.
"Nguoi dan muon mot ky thi ro rang, cong bang, trung thuc.","Người dân muốn một kỳ thi rõ ràng, công bằng, trung thực."
Fashionista do gu sanh dieu bat chap gia lanh.,Fashionista đọ gu sành điệu bất chấp giá lạnh.
Xuan ve voi lang tre SOS Viet Tri.,Xuân về với làng trẻ SOS Việt Trì.
TS Tran Du Lich: Khong co FDI tot neu khong chu dong tim.,TS Trần Du Lịch: Không có FDI tốt nếu không chủ động tìm.
Truyen 'Bach Tuyet va 7 chu lun' bi cam vi kheu goi tinh duc.,Truyện 'Bạch Tuyết và 7 chú lùn' bị cấm vì khêu gợi tình dục.
Nhin c minh hieu con co duyen còn con di linh ca loc nhin mat no muon cho no an dam,Nhìn cô Minh Hiếu còn có duyên còn con đĩ Linh Ka Lóc nhìn mặt nó muốn cho nó ăn đấm
The hinh: Lam gi de doi thu phai nguoc nhin?.,Thể hình: Làm gì để đối thủ phải ngước nhìn?.
3 tau ca bi to loc danh chim: Tim thay thi the nan nhan.,3 tàu cá bị tố lốc đánh chìm: Tìm thấy thi thể nạn nhân.
Mua thu o phia bac ban cau.,Mùa thu ở phía bắc bán cầu.
cừi chung cho zui nè,cười chung cho vui nè
Loai vi khuan co the giet nguoi khoe manh trong 24 gio.,Loại vi khuẩn có thể giết người khỏe mạnh trong 24 giờ.
Lee Chong Wei vo dich giai cau long An Do mo rong.,Lee Chong Wei vô địch giải cầu lông Ấn Độ mở rộng.
VietinBank tuyen dung can bo le tan van phong.,VietinBank tuyển dụng cán bộ lễ tân văn phòng.
Gia xe chuan bi tang dong loat.,Giá xe chuẩn bị tăng đồng loạt.
KPMG tang truong manh va dat doanh thu ky luc.,KPMG tăng trưởng mạnh và đạt doanh thu kỷ lục.
"So luong du an nha o thu nhap thap duoc cap phep moi la 4 du an voi quy mo 2.652 can tai Thai Nguyen, Phu Tho, Quang Ninh, Ha Nam.","Số lượng dự án nhà ở thu nhập thấp được cấp phép mới là 4 dự án với quy mô 2.652 căn tại Thái Nguyên, Phú Thọ, Quảng Ninh, Hà Nam."
Nu sinh VN chet bat thuong trong nha tro Singapore.,Nữ sinh VN chết bất thường trong nhà trọ Singapore.
"Bao dong tinh trang dung ""chieu doc"" hai trau bo.","Báo động tình trạng dùng ""chiêu độc"" hại trâu bò."
Tai sao nhieu phu nu di phau thuat thu nho nguc?.,Tại sao nhiều phụ nữ đi phẫu thuật thu nhỏ ngực?.
So phan nhung dua con roi cua ga thay bua dam loan.,Số phận những đứa con rơi của gã thầy bùa dâm loạn.
HP ra mat loat laptop 2011 tai VN.,HP ra mắt loạt laptop 2011 tại VN.
Hoi nghi Bao tang chau A.,Hội nghị Bảo tàng châu Á.
Bayern se ban Ribery vao cuoi mua bong.,Bayern sẽ bán Ribery vào cuối mùa bóng.
Clip: Nguoi phu nu vo tu chay nguoc chieu trong ham Kim Lien.,Clip: Người phụ nữ vô tư chạy ngược chiều trong hầm Kim Liên.
Tiep tuc ngay lam viec thu hai cua Doan dai bieu cap cao UBTU MTTQ Viet Nam tai Lao: Gop phan cung co va phat trien vung chac moi quan he Viet - Lao.,Tiếp tục ngày làm việc thứ hai của Đoàn đại biểu cấp cao UBTƯ MTTQ Việt Nam tại Lào: Góp phần củng cố và phát triển vững chắc mối quan hệ Việt - Lào.
1 ty ma ko bang mieng vai chui lon con nguoi an noi biet la do vo học ko co dao dục thu do se bi qua bao se chẹt tham ...,1 tỷ mà không bằng miếng vải chùi lồn con người ăn nói biết là đồ vô học không có đạo đức thứ đó sẽ bị quả báo sẽ chết thảm ...
"Say ruou, bi cong an ruot.","Say rượu, bị công an rượt."
Viettel tro gia may Galaxy S8 den 6 trieu dong.,Viettel trợ giá máy Galaxy S8 đến 6 triệu đồng.
Chi là ba Con voi linh ha. Sao thay giong wa,Chị là bà con với Linh hả. Sao thấy giống quá
Nhung khac biet thu vi ve nao bo nam va nu.,Những khác biệt thú vị về não bộ nam và nữ.
"Toi nghi MU se roi vao tinh huong giong nhu Sancho mua he 2020"". He 2020, MU tung tiep can Dortmund nhung roi rut lui khi bi Dortmund het gia 108 trieu bang.","Tôi nghĩ MU sẽ rơi vào tình huống giống như Sancho mùa hè 2020"". Hè 2020, MU từng tiếp cận Dortmund nhưng rồi rút lui khi bị Dortmund hét giá 108 triệu bảng."
Tuan Hung chuan bi ket hon bi mat?.,Tuấn Hưng chuẩn bị kết hôn bí mật?.
"Hai vu duoi nuoc tap the, 8 nguoi chet thuong tam.","Hai vụ đuối nước tập thể, 8 người chết thương tâm."
"Do do, So GTVT de nghi Van phong UBND thanh pho som tham muu lanh dao TPHCM xem xet, chi dao doi voi cac noi dung da duoc don vi nay bao cao, kien nghi.","Do đó, Sở GTVT đề nghị Văn phòng UBND thành phố sớm tham mưu lãnh đạo TPHCM xem xét, chỉ đạo đối với các nội dung đã được đơn vị này báo cáo, kiến nghị."
Don doc Dai Doan Ket so 159 ra ngay 7-6-2012.,Đón đọc Đại Đoàn Kết số 159 ra ngày 7-6-2012.
"Xin loi, em chi la phu huynh!.","Xin lỗi, em chỉ là phụ huynh!."
Hai hung hu tuc giet chet be gai so sinh o An Do.,Hãi hùng hủ tục giết chết bé gái sơ sinh ở Ấn Độ.
"Cac song bai dong gop 80% thu ngan sach cua dac khu nay, va tao mot phan ba viec lam cho lao dong.","Các sòng bài đóng góp 80% thu ngân sách của đặc khu này, và tạo một phần ba việc làm cho lao động."
Đcm cmt tục vkl.,Địt con mẹ comment tục vãi cả lồn.
Ky sat hach cuoi cua Juventus.,Kỳ sát hạch cuối của Juventus.
MobiFone them goi Mobile Internet khong gioi han dung luong.,MobiFone thêm gói Mobile Internet không giới hạn dung lượng.
Thang 5 se co Hoi nghi toan quoc ve Quy hoach bao chi.,Tháng 5 sẽ có Hội nghị toàn quốc về Quy hoạch báo chí.
